issuer_ticker,issuer_name,owner_name,officer_title,is_officer,is_director,transaction_code,shares,price,acquired_disposed,transaction_date,shares_owned_after,ticker,market_cap,filing_date,is_ceo,signal,trade_value_usd,is_one_off,allocation_pct_change,base_price,price_3m,price_1y,price_2y,return_3m_pct,return_1y_pct,return_2y_pct
BBAI,"BigBear.ai Holdings, Inc.",Ricker Sean Raymond,Chief Financial Officer,False,False,F,10069.0,3.6,D,2026-06-30,592893.0,BBAI,1565549569.945974,2026-07-02,False,NEUTRAL,36248.4,False,1.6699228143730451,3.6700000762939453,,,,,,
BBAI,"BigBear.ai Holdings, Inc.",Blankenship Carolyn,General Counsel and Secretary,False,False,F,9019.0,3.6,D,2026-06-30,771526.0,BBAI,1565549569.945974,2026-07-02,False,NEUTRAL,32468.4,False,1.1554747003696135,3.6700000762939453,,,,,,
BBAI,"BigBear.ai Holdings, Inc.",McAleenan Kevin,Chief Executive Officer,False,False,F,23562.0,3.6,D,2026-06-30,1428508.0,BBAI,1565549569.945974,2026-07-02,True,NEUTRAL,84823.2,False,1.6226490458448972,3.6700000762939453,,,,,,
BBAI,"BigBear.ai Holdings, Inc.","PANGIAM ULTIMATE HOLDINGS, LLC",,False,False,A,36070.0,0.0,A,2026-06-14,299506.0,BBAI,1565549569.945974,2026-06-15,False,NEUTRAL,0.0,False,13.69213015685024,4.050000190734863,,,,,,
BBAI,"BigBear.ai Holdings, Inc.",HAYES DOROTHY D,,False,False,A,36070.0,0.0,A,2026-06-14,240220.0,BBAI,1565549569.945974,2026-06-15,False,NEUTRAL,0.0,False,17.66838109233407,4.050000190734863,,,,,,
BBAI,"BigBear.ai Holdings, Inc.",Evangelista Anthony,,False,False,A,36070.0,0.0,A,2026-06-14,51162.0,BBAI,1565549569.945974,2026-06-15,False,NEUTRAL,0.0,False,239.0007951232441,4.050000190734863,,,,,,
BBAI,"BigBear.ai Holdings, Inc.",FULCHINO PAUL E,,False,False,A,36070.0,0.0,A,2026-06-14,440830.0,BBAI,1565549569.945974,2026-06-15,False,NEUTRAL,0.0,False,8.911453700958592,4.050000190734863,,,,,,
BBAI,"BigBear.ai Holdings, Inc.",Cannito Peter Anthony Jr,,False,False,A,36070.0,0.0,A,2026-06-14,479168.0,BBAI,1565549569.945974,2026-06-15,False,NEUTRAL,0.0,False,8.140411376264394,4.050000190734863,,,,,,
BBAI,"BigBear.ai Holdings, Inc.",Braden Pamela Joyce,,False,False,A,36070.0,0.0,A,2026-06-14,544757.0,BBAI,1565549569.945974,2026-06-15,False,NEUTRAL,0.0,False,7.090804364963131,4.050000190734863,,,,,,
BBAI,"BigBear.ai Holdings, Inc.",BATTLE SEAN BERNARD,,False,False,A,36070.0,0.0,A,2026-06-14,206819.0,BBAI,1565549569.945974,2026-06-15,False,NEUTRAL,0.0,False,21.124574668080047,4.050000190734863,,,,,,
